ES,75332
EN,74817
EL,60472
DE,60385
RE,55477
ER,55043
LA,53606
QU,48852
AR,48401
AN,47013
RA,45079
AL,44443
SE,44089
UE,43729
NT,42603
TA,40386
SA,34526
AS,33112
AD,31688
OS,31233
NA,30547
AT,30066
LL,29864
ON,28307
OR,27968
CA,27560
ST,27266
PE,26929
CO,26297
AM,26024
TE,25948
IA,25558
LE,24725
UN,23425
AV,22853
IN,22564
ME,21861
RI,21367
TR,20888
DA,20838
NO,20189
LS,19851
MA,19604
AP,19410
AC,19206
VA,18676
EM,18424
SI,18366
OM,18064
SS,18062
NS,18019
SD,17922
NE,17127
SP,16914
PA,16701
DI,16397
ET,16256
TO,16140
VE,15501
OL,15401
TI,15293
GU,15096
RO,15056
LO,14537
IT,14167
TS,14154
CI,14080
PO,14015
SO,13979
AQ,13635
SC,13629
EU,13627
NC,13439
AI,13397
IE,13058
IR,13008
LI,12971
EC,12849
OT,12828
AB,12766
ÉS,12585
DO,12513
PR,12320
ND,12057
IS,11961
VI,11890
AA,11851
HA,11596
NI,11589
AE,11117
LT,11007
RT,10970
UR,10807
ED,10786
EG,10633
IC,10562
BA,10420
MI,10078
ID,9986
RR,9790
EI,9707
MO,9548
IX,9504
RS,9376
UA,9371
IG,9223
MP,9101
FE,9027
MB,8888
EP,8881
SQ,8770
GA,8591
RL,8534
IL,8486
IM,8444
UI,8425
EV,7987
HO,7836
EE,7741
RD,7709
NY,7696
TD,7651
AU,7635
AG,7388
AF,7341
US,7189
OB,6895
BL,6887
OC,6857
CE,6778
OD,6740
VO,6609
BE,6604
SM,6598
EA,6565
SU,6473
SL,6226
BR,6226
NG,6197
GE,6014
JA,5936
FI,5890
GR,5832
HI,5781
OP,5699
TU,5682
LC,5658
RM,5522
FO,5318
SH,5308
RC,5307
NL,5306
UL,5223
DR,5198
FA,5181
LD,5138
IU,4970
MÉ,4943
YA,4925
RN,4901
TL,4857
LM,4778
UT,4759
JO,4752
RQ,4653
DU,4621
PL,4614
LP,4604
IO,4378
NP,4346
AY,4302
SF,4273
EF,4221
BO,4195
SV,4125
UÉ,4075
IÓ,3997
LU,3879
SN,3871
TP,3869
CU,3864
RU,3792
UD,3759
IP,3639
OV,3629
CR,3596
PI,3575
MU,3569
NV,3563
IV,3550
XA,3520
OE,3501
NF,3467
GO,3458
CH,3383
EB,3358
SY,3285
IH,3248
IB,3237
AH,3225
NU,3219
EH,3127
EQ,3105
SG,3100
UM,3078
HE,3033
PU,2991
OH,2968
ÍA,2945
CL,2939
XE,2934
UC,2925
EJ,2859
RP,2851
SB,2818
LG,2774
RÒ,2760
OF,2729
EX,2726
NM,2712
YO,2701
OQ,2696
EY,2694
TQ,2682
UÈ,2666
GI,2650
CT,2613
YS,2600
RÉ,2524
TC,2506
SR,2476
LQ,2456
IF,2445
OU,2436
AJ,2376
NQ,2372
TM,2371
BI,2367
CS,2348
RV,2315
ÇA,2270
BU,2259
LV,2248
RG,2238
UP,2231
XI,2185
BÉ,2098
MS,2071
OI,2067
RÀ,2066
IQ,2034
OA,2003
RÍ,2002
ÓS,1994
AO,1993
YE,1991
TJ,1960
OG,1950
LR,1929
FU,1909
TT,1899
TH,1883
NR,1861
LH,1838
NH,1829
UG,1753
FR,1749
NÇ,1747
JU,1739
ÍS,1731
LN,1663
LF,1649
YL,1649
MD,1644
GL,1598
YD,1585
OY,1573
ÓD,1545
NB,1519
ÓN,1502
TG,1485
LB,1455
PS,1455
NJ,1431
TN,1412
RB,1393
SÍ,1384
SÓ,1373
UÍ,1364
TÉ,1341
EO,1314
RH,1311
XÒ,1266
ÉU,1249
NN,1224
TV,1180
ÈS,1173
TÀ,1171
SJ,1169
LÍ,1164
XÍ,1132
TF,1101
PD,1087
MH,1070
TÍ,1066
UQ,1063
RF,1061
VU,1054
II,1053
CC,1041
PT,1018
UV,1011
ÀA,1009
ÍN,1004
JE,1003
ÈN,994
ZA,984
LÀ,979
SÉ,979
YC,970
BT,962
YT,952
TY,951
ÍE,946
UB,942
GN,934
YP,934
MN,917
ÀR,911
MÀ,886
ÉL,883
FL,874
MT,867
ML,866
YR,850
HU,847
TB,839
UY,836
YQ,822
MM,813
UH,808
RY,797
UF,795
NÓ,792
NÀ,780
TX,779
MÍ,778
ÉA,772
ÀD,771
IJ,761
VÍ,761
ÀS,760
GD,745
ÍD,744
BS,739
YM,735
CD,728
XO,716
HS,716
UJ,714
AX,713
ÀE,708
XP,707
NZ,700
ÉE,700
ZE,698
ÓE,696
ÒE,686
GÚ,686
ÀN,685
ÒN,672
ÉD,670
AÇ,664
ÈU,661
ÀL,660
AÉ,639
RÓ,639
YN,639
DÉ,638
ÓQ,637
MV,633
ÍQ,600
MC,597
RÈ,592
ÉR,591
TZ,586
MQ,586
ÓA,582
ÀC,576
OJ,575
DH,568
MF,565
NÍ,565
CK,565
DÍ,564
ÉN,561
LJ,561
ÍP,561
ÉQ,559
TÈ,559
ÍC,554
ÉP,550
DY,547
RX,544
ÓP,539
ÓC,534
ÒM,533
YV,532
ÈR,530
VÉ,528
ÍT,524
SÀ,521
MÓ,518
NX,518
ÓL,510
ÒS,508
ÀP,504
XC,503
NÉ,500
EÉ,498
ÉM,495
XT,490
ÓR,488
VÓ,482
YF,479
LÒ,477
ÍL,475
IÉ,465
LY,464
CÀ,461
DÓ,450
TÓ,445
UU,442
RÇ,437
MR,437
YI,433
ÒR,418
ÀT,415
ÍM,413
OÉ,412
ÈE,410
ÇO,408
CÓ,407
RJ,406
CÍ,388
UO,383
ÒL,375
LÇ,370
ÒA,366
HD,365
FÉ,362
LÓ,361
EZ,360
CP,359
ÓM,358
ÒQ,354
ÀQ,350
BM,349
ÀV,348
LÈ,347
ÉC,347
ÒD,345
ÚN,345
LÉ,341
CQ,337
ÉT,336
ÀU,333
ÇÀ,326
GS,325
BÀ,324
XÈ,315
ÀM,313
PC,313
CÒ,312
ÍV,311
DD,309
YG,306
ÈL,300
OO,298
CM,295
ZO,292
ÜE,289
ÚS,285
ÈT,281
YU,281
NÈ,279
YH,279
ÈD,278
BP,277
DM,276
PM,275
ÓI,273
PÍ,273
ÈH,269
DS,268
DÀ,261
AZ,259
XD,258
ÀG,258
ÀI,258
ÓT,257
NÚ,257
GP,257
IÀ,252
ÒP,247
MÈ,246
ZI,246
